id,timestamp,hydro_mw,wind_mw,solar_mw,nuclear_mw,fossil_mw,total_mw,renewable_share_pct
,2025-09-27T12:45:00+00:00,898.5,1662.6,136.5,2567.9,1462.7,6728.2,40.1
,2025-09-27T13:00:00.752762+00:00,864.1,2052.3,185.3,2447.8,1450.5,7000.0,44.3
,2025-09-27T13:00:00.554667+00:00,957.9,1637.3,183.8,2650.4,1570.6,7000.0,39.7
,2025-09-27T13:15:00.554667+00:00,929.3,2016.3,165.2,2442.1,1447.2,7000.0,44.4
,2025-09-27T13:30:00.554667+00:00,946.6,1292.8,141.5,2900.3,1718.7,7000.0,34.0
,2025-09-27T13:45:00.554667+00:00,894.6,1973.2,98.4,2532.8,1500.9,7000.0,42.4
,2025-09-27T14:00:00.554667+00:00,843.2,2247.4,154.0,2492.7,1534.5,7271.8,44.6
,2025-09-27T14:15:00.554667+00:00,1022.0,1324.6,256.2,2890.0,1779.1,7271.8,35.8
,2025-09-27T14:30:00.554667+00:00,967.4,1746.1,200.0,2697.6,1660.7,7271.8,40.1
,2025-09-27T14:45:00.554667+00:00,932.2,1673.7,152.1,2793.8,1719.9,7271.8,37.9
,2025-09-27T15:00:00.554667+00:00,888.1,1812.9,154.0,2852.7,1817.3,7525.0,37.9
,2025-09-27T15:15:00.554667+00:00,1049.3,1645.9,164.7,2849.8,1815.4,7525.0,38.0
,2025-09-27T15:30:00.554667+00:00,1030.9,1959.7,163.5,2670.0,1700.9,7525.0,41.9
,2025-09-27T15:45:00.554667+00:00,1038.9,1309.1,117.7,3090.6,1968.8,7525.0,32.8
,2025-09-27T16:00:00.554667+00:00,988.7,2098.5,117.8,2740.9,1796.5,7742.5,41.4
,2025-09-27T16:15:00.554667+00:00,956.2,1948.7,120.2,2849.6,1867.8,7742.5,39.1
,2025-09-27T16:30:00.554667+00:00,991.1,1829.4,178.5,2865.4,1878.1,7742.5,38.7
,2025-09-27T16:45:00.554667+00:00,1007.3,1651.6,182.0,2960.9,1940.7,7742.5,36.7
